"pay_attn_pol_cont","int_follow_campg","anything_like_dem_cand","anything_like_rep_cand","approve_congr","things_right_track","feel_dem_cand_cont","feel_rep_cand_cont","how_many_live_hh_cont","better_1y_ago_cont","has_hinsur","favor_aca","afraid_dem_cand","disgust_dem_cand","afraid_rep_cand","disgust_rep_cand","lib_con_scale_cont","incgap_morethan_20y_ago","economy_improved","unempl_improved","speaksmind_dem_cand","speaksmind_rep_cand","soc_spend_favor_cont","def_spend_favor_cont","private_hi_favor_cont","shoud_hard_buy_gun","favor_affirmaction","govt_benefit_all","all_ingovt_corrup","election_makegovt_payattn","global_warming_happen","favor_death_penalty","econ_better_since_2008","relig_important","age_cont","married","schooling_cont","latinx","white","black","both_parents_bornUS","any_grandparent_foreign","rent_home","has_unexp_passap","should_roughup_protestors","justified_useviolence","consider_self_feminist","ppl_easily_offended_nowadays","soc_media_learn_pres","satisfied_life","intvote_beforeelec_2016","vote_pres_2012","vote_pres_2016","swing_2016","swing_2016_2012"
2,1,0,1,0,0,0,85,2,0,1,0,0,0,-2,-2,-1,1,-1,-1,1,1,0,2,-3,0,-1,0,1,0,1,1,0,0,26,0,13,0,1,0,1,0,0,0,-2,-2,0,1,0,0,"Trump","Obama","Trump",0,1
0,0,0,0,0,0,15,0,3,-2,1,0,-1,1,2,2,0,-1,-1,0,-1,2,0,-2,-3,1,-1,1,-1,1,1,0,-1,1,38,0,9,0,1,0,1,1,1,0,0,-2,0,1,0,1,"Johnson","Obama","Stein",1,1
1,0,0,0,0,1,85,0,1,0,1,0,-1,-1,1,1,0,1,0,1,2,1,3,1,2,1,-1,0,1,1,1,0,1,1,58,1,5,0,0,1,0,1,0,1,1,-2,0,1,1,0,"Clinton","Obama","Clinton",0,0
2,1,0,1,0,0,15,85,1,0,1,0,-1,0,-2,-2,-1,1,0,0,-2,2,-2,1,3,0,-1,0,1,1,0,0,0,1,56,0,9,0,1,0,1,1,0,0,-2,-2,1,1,1,1,"Trump","Romney","Trump",0,0
1,1,0,1,0,0,0,85,1,2,1,-1,1,2,-2,-1,0,1,-1,0,-2,2,-1,0,2,0,-1,0,0,0,1,0,-1,1,67,1,12,0,1,0,1,1,1,1,2,-2,0,1,0,1,"Trump","Obama","Trump",0,1
2,1,1,0,0,1,85,0,0,2,1,1,-2,-2,1,1,2,1,1,1,2,1,1,-1,-2,1,1,1,-1,0,1,1,1,1,62,0,14,0,1,0,1,0,1,0,-2,-2,1,0,1,1,"Clinton","Obama","Clinton",0,0
2,1,1,0,0,1,85,0,3,1,1,1,-1,-2,1,1,2,1,1,1,0,1,1,0,-1,1,1,0,-1,1,1,1,1,0,46,1,14,1,1,0,0,1,0,1,-2,-2,1,0,0,0,"Clinton","Obama","Clinton",0,0
1,0,0,1,0,0,40,100,0,0,1,-1,1,1,-2,-1,-2,1,-1,0,2,2,-2,0,1,1,-1,0,0,0,1,0,-1,0,70,0,13,0,1,0,1,0,0,0,1,-2,0,1,1,2,"Trump","Romney","Trump",0,0
2,1,1,0,0,1,85,0,3,0,1,1,-2,-2,1,2,1,1,1,1,2,2,2,0,-1,1,0,0,0,0,1,1,1,0,30,1,14,0,1,0,1,1,0,1,-2,-2,1,0,1,1,"Clinton","Obama","Clinton",0,0
0,1,0,1,1,0,10,90,0,-2,0,-1,2,1,-2,-2,1,1,-1,-1,-2,2,0,-1,2,1,-1,0,0,1,0,0,-1,0,32,0,12,0,1,0,1,0,1,0,1,-2,1,1,1,0,"Trump","Romney","Trump",0,0
