"votebiden","feel_biden","feel_trump","feel_fauci","feel_feminists","feel_unions","feel_bigbusiness","feel_gay","feel_muslim","feel_christian","feel_jewish","feel_police","feel_scientists","feel_nra","feel_fbi","feel_rural","feel_cdc"
1,85,0,100,75,75,0,100,100,30,100,40,100,0,50,75,80
0,0,90,0,30,50,0,50,10,50,90,70,60,70,20,90,10
1,100,0,85,60,50,40,70,50,85,100,70,85,15,70,85,70
0,0,70,0,60,50,50,60,60,60,60,60,85,85,79,70,85
1,70,30,50,50,50,15,50,50,50,50,70,50,50,50,50,70
1,60,0,80,50,40,40,50,50,50,50,70,80,30,70,70,50
1,85,15,100,60,40,50,70,50,70,60,70,85,0,85,40,70
1,85,0,90,85,70,60,85,90,100,100,85,100,15,50,85,95
1,70,0,85,50,75,15,50,55,50,50,15,80,0,25,50,80
1,85,0,75,80,85,45,60,65,65,60,65,75,45,50,60,60
0,15,85,85,50,70,60,30,0,100,85,85,85,85,100,85,100
0,30,50,50,50,50,50,50,50,60,50,60,60,50,50,60,50
1,75,0,100,70,50,30,50,40,50,50,70,90,15,90,85,85
1,85,0,50,15,50,50,100,70,85,85,40,70,50,50,50,50
1,100,0,70,70,70,15,85,40,40,70,70,85,0,70,40,60
1,100,0,100,85,50,35,85,50,50,50,70,100,20,50,50,90
0,30,85,50,50,60,70,70,50,100,85,70,85,70,50,100,60
1,60,0,70,100,70,10,100,60,30,50,10,100,10,40,60,80
0,15,100,60,15,40,60,50,50,50,85,70,70,85,15,50,50
0,15,70,50,40,50,50,85,70,60,50,85,50,50,50,85,30
0,0,100,4,15,1,85,50,50,30,50,100,100,85,95,100,75
0,0,100,0,0,0,86,100,50,70,86,100,40,100,86,100,70
0,50,70,50,50,50,0,50,50,50,50,60,50,60,50,50,50
0,0,85,50,0,50,50,50,50,90,50,99,90,99,50,100,50
1,100,0,100,60,85,40,70,70,100,85,85,85,15,85,40,100
1,90,0,90,70,50,50,70,40,40,70,50,90,0,60,40,70
1,85,0,100,70,70,70,70,70,70,70,85,85,10,85,60,90
1,90,0,100,95,85,15,90,90,70,90,40,100,0,60,55,70
1,85,0,100,50,90,51,15,10,85,75,90,90,45,80,80,95
1,85,0,95,85,60,50,90,60,70,90,60,90,15,75,60,70
1,70,0,100,60,60,60,40,40,85,60,60,85,85,70,40,85
0,0,100,40,50,15,30,50,70,85,70,85,50,100,40,85,40
1,40,30,85,60,85,30,85,85,70,85,60,85,20,20,60,60
1,100,0,100,85,85,40,70,70,60,85,40,100,15,60,70,85
1,70,40,70,50,75,30,75,85,50,85,50,90,0,50,30,60
1,60,0,85,85,70,40,85,100,85,85,70,100,15,70,70,100
1,100,0,100,70,100,40,60,50,85,50,85,100,60,70,40,85
0,40,0,100,100,85,0,100,50,15,50,15,100,0,30,30,85
1,75,0,90,80,85,30,80,70,60,70,45,90,10,50,60,85
1,60,0,100,100,50,15,100,60,85,50,40,70,30,70,30,60
1,100,16,85,100,70,50,85,100,85,85,50,86,40,50,85,100
1,70,0,100,50,70,30,100,40,85,50,85,85,50,70,70,70
1,70,0,80,50,50,30,85,60,70,85,85,70,0,50,70,70
0,15,85,60,0,40,60,50,15,70,100,100,85,85,85,100,40
1,7,0,9,5,7,3,5,5,5,8,8,9,5,7,5,7
0,50,85,70,40,60,70,70,60,70,100,70,70,60,30,60,40
1,100,0,100,70,100,60,50,60,85,60,100,100,70,100,85,100
0,50,30,100,60,15,60,50,60,85,70,70,70,30,50,85,85
0,0,100,60,0,40,70,0,0,100,100,100,70,100,70,100,70
1,100,0,100,60,50,70,60,70,100,80,60,90,70,80,80,70
1,85,0,100,85,70,40,100,85,15,70,40,85,0,70,30,70
1,100,0,60,60,70,0,100,60,85,90,100,85,50,100,50,100
1,60,0,85,50,60,15,100,50,50,50,15,100,0,60,60,85
0,30,60,50,15,30,50,50,40,50,50,60,85,50,70,50,40
0,15,100,15,50,60,50,50,50,50,60,100,85,50,85,50,60
0,0,100,0,0,85,50,50,50,100,100,100,50,100,0,100,0
0,0,70,50,50,30,60,50,0,50,50,70,85,60,30,100,30
0,30,100,50,40,15,60,0,30,100,85,100,70,85,100,100,70
1,85,0,100,60,70,50,85,70,70,85,60,100,0,70,50,70
1,100,0,100,100,15,15,85,70,40,85,60,100,30,85,30,60
1,60,40,70,60,50,60,50,60,70,60,70,70,50,70,50,70
1,85,0,95,95,75,20,95,50,40,85,30,85,20,90,50,90
0,0,100,0,0,10,80,0,50,100,100,100,51,80,90,100,60
1,100,0,100,85,60,40,85,50,85,85,85,85,0,70,70,85
0,0,100,85,50,70,50,50,50,85,70,85,70,15,70,85,60
0,40,50,40,40,50,40,50,50,60,50,70,50,50,50,60,40
1,95,0,99,60,50,20,50,50,50,50,50,70,10,80,80,75
0,0,85,70,50,50,30,50,50,50,50,70,85,60,50,85,70
0,0,85,0,50,30,15,50,0,100,60,85,40,60,15,70,40
1,100,0,100,85,100,15,40,100,60,100,60,85,40,100,85,100
0,0,100,15,0,0,85,50,15,85,85,85,50,100,0,70,30
0,15,100,40,60,40,60,70,70,85,85,85,70,85,60,85,70
1,75,0,100,100,100,85,100,100,25,100,25,100,0,50,25,85
0,0,100,0,50,50,50,50,50,100,50,100,50,100,85,100,30
1,100,0,100,70,85,30,70,60,70,70,60,100,0,60,50,85
1,70,0,85,70,70,25,70,70,70,70,50,85,30,50,60,70
0,15,100,30,0,30,70,60,60,85,85,100,15,100,15,100,15
1,60,0,70,85,70,15,70,60,15,60,70,85,30,70,85,60
1,85,0,100,70,85,60,85,70,85,85,85,100,30,85,85,85
1,85,0,90,5,50,50,50,85,100,85,90,100,55,85,60,100
0,0,85,40,15,70,70,15,15,100,100,100,85,100,40,100,40
1,50,0,85,50,40,30,50,50,70,70,85,100,60,85,85,60
0,30,85,70,50,50,50,50,15,85,30,60,50,70,60,60,60
1,85,0,100,50,100,50,50,50,50,50,75,100,50,60,50,85
0,0,60,30,100,100,60,100,100,100,100,60,100,100,85,100,60
1,60,0,40,60,85,40,100,50,50,50,40,100,15,60,60,85
1,85,0,100,100,100,50,100,100,50,100,30,100,0,50,25,100
1,70,15,85,60,50,60,70,60,60,50,70,70,50,60,60,60
1,100,0,70,70,85,60,100,85,30,100,70,85,15,70,50,85
0,15,100,75,70,30,85,70,85,100,100,100,85,60,85,100,70
0,0,100,40,40,50,50,50,50,85,50,70,50,85,60,60,40
0,40,80,75,50,5,65,0,50,95,50,85,85,51,70,100,60
0,0,100,60,50,15,50,15,50,100,85,100,75,85,50,100,40
1,85,0,100,100,40,70,100,85,85,100,85,100,0,85,70,85
0,0,100,50,60,50,60,50,40,85,50,100,100,100,50,100,60
0,0,90,50,50,40,75,50,50,100,100,100,85,85,50,100,75
1,100,0,100,100,85,70,85,100,100,100,40,100,0,85,50,100
1,60,0,85,70,70,30,50,60,40,50,30,100,0,60,50,85
0,30,50,75,35,35,70,40,30,75,50,75,85,70,60,85,75
1,90,0,95,90,70,70,90,95,95,95,50,95,0,50,70,70
1,85,0,100,90,85,40,100,85,70,90,75,90,0,90,75,85
1,90,2,85,70,60,50,70,65,75,80,70,90,10,80,60,75
0,50,100,60,50,50,100,50,50,100,50,100,100,100,40,30,100
0,0,85,40,50,60,40,30,40,100,85,100,70,85,70,85,50
0,15,85,40,0,15,70,50,70,70,70,100,100,30,60,70,40
0,0,100,40,40,80,85,0,30,70,100,100,50,80,70,85,60
0,15,85,50,30,30,50,30,15,100,60,85,40,70,50,100,50
1,85,0,70,60,30,30,60,70,60,60,60,85,15,40,50,50
1,85,15,100,60,70,40,50,50,85,50,85,85,35,90,50,90
1,100,0,100,85,70,60,85,50,100,100,85,85,0,70,85,100
1,100,0,100,100,100,50,100,70,70,85,85,100,0,100,70,85
1,70,0,70,85,85,85,85,85,85,100,100,85,50,85,60,100
1,85,40,100,70,40,70,60,85,85,100,100,100,15,100,85,70
1,70,0,85,60,60,50,80,65,70,90,65,90,0,70,70,70
0,30,40,70,70,0,100,100,100,70,100,100,85,50,85,100,40
0,0,100,50,50,0,50,50,40,90,90,90,75,100,75,100,50
1,60,0,85,60,65,60,60,40,30,75,50,90,5,60,20,90
1,100,0,100,85,70,60,85,70,70,85,70,100,0,40,70,60
1,90,0,85,70,70,30,90,90,90,90,75,85,30,60,60,80
0,50,70,30,40,50,100,100,100,70,100,100,90,75,90,100,80
0,30,60,70,50,40,50,50,50,60,60,100,60,50,40,80,50
0,0,50,50,40,30,0,85,100,100,100,85,100,60,100,50,50
0,60,50,60,50,15,40,50,50,70,50,70,60,60,60,60,60
1,100,0,100,70,85,50,100,60,60,85,70,100,40,85,40,85
0,30,70,70,50,50,50,65,50,90,50,85,85,75,70,100,80
1,40,0,85,50,70,50,100,50,40,100,40,60,50,50,50,50
0,0,85,0,60,50,15,70,40,85,60,85,60,85,15,85,15
1,85,0,50,100,100,30,100,100,0,85,0,100,0,50,40,85
1,85,0,100,100,100,75,75,60,80,100,85,100,0,90,75,90
1,85,0,100,50,60,30,50,70,100,70,85,85,0,60,60,85
0,0,100,15,0,100,70,50,0,100,100,100,100,100,0,100,0
1,100,0,100,85,15,70,85,40,70,85,85,100,15,85,100,100
1,70,0,70,60,40,70,100,100,100,100,90,100,85,85,100,100
1,100,30,70,80,50,40,50,50,70,90,70,100,0,50,90,80
0,30,85,50,40,40,70,50,50,100,60,85,60,100,50,85,50
1,100,0,100,100,60,40,100,85,60,100,40,100,0,70,40,85
1,100,15,70,70,70,70,70,60,40,100,85,85,50,85,60,100
1,72,13,88,85,49,28,83,54,68,57,61,100,9,89,46,80
0,0,100,30,40,50,50,50,85,100,100,85,40,100,40,100,85
0,0,100,5,0,15,10,35,5,85,75,75,60,80,35,75,10
1,100,0,100,100,80,40,100,100,100,100,75,100,0,85,100,100
1,60,0,70,50,70,40,50,50,70,70,85,85,60,50,85,70
1,100,0,100,100,40,15,90,85,50,60,15,100,0,50,70,100
0,0,85,0,40,50,50,50,30,85,85,85,85,70,60,85,50
0,0,100,30,30,40,60,70,60,100,100,85,70,100,70,100,70
1,82,0,100,95,95,60,85,70,62,81,70,100,0,90,70,80
1,85,0,100,100,85,30,100,70,50,70,30,85,40,50,30,100
1,100,0,100,100,85,35,100,100,0,100,30,100,0,85,35,40
0,40,70,40,50,60,60,40,50,100,100,85,85,50,70,85,85
1,100,0,85,85,50,40,100,85,30,100,60,100,15,85,40,100
1,100,0,100,50,100,85,85,85,85,85,70,15,0,85,70,100
0,0,85,40,40,30,85,50,40,100,70,85,70,100,40,85,60
1,100,0,100,100,85,85,100,100,100,100,85,100,0,100,100,30
0,0,100,40,60,40,60,40,30,100,85,100,50,100,85,100,70
0,30,85,60,40,70,60,15,0,85,60,85,85,70,40,70,70
1,85,15,100,85,60,60,85,85,85,85,85,85,15,70,60,70
1,70,0,100,60,60,40,85,50,50,50,60,60,50,50,40,85
0,60,85,100,50,30,100,50,50,50,50,100,100,40,100,50,95
0,10,66,6,25,75,33,90,90,90,90,90,90,65,70,95,60
1,98,9,70,70,60,70,60,50,80,50,35,80,50,60,70,100
0,0,85,60,50,50,50,100,40,85,85,98,70,85,40,85,40
0,0,85,70,40,40,40,70,70,100,100,100,85,85,100,100,85
0,0,100,0,40,0,70,50,40,100,100,100,85,100,70,70,30
1,100,0,100,80,60,30,90,80,40,90,30,100,10,85,75,100
1,70,15,15,86,60,30,85,60,50,50,40,40,40,40,70,15
1,60,0,70,100,100,50,100,100,100,100,50,100,0,50,50,100
0,0,90,40,40,50,50,50,0,100,80,100,90,100,80,100,75
1,100,0,100,70,60,40,100,60,60,70,70,85,30,60,40,70
0,30,40,60,70,60,60,85,70,85,85,85,70,60,70,70,85
0,10,65,25,35,50,20,20,10,85,60,25,80,85,15,85,10
1,100,0,100,100,70,70,100,100,100,100,100,100,70,100,100,100
1,70,15,85,50,50,50,100,50,50,50,85,50,50,50,70,85
0,100,85,85,60,40,85,85,60,85,85,70,30,100,60,85,70
0,0,100,15,50,70,15,50,50,85,100,100,50,100,0,100,50
0,70,70,100,50,40,40,40,50,85,50,40,85,40,70,85,60
0,70,70,83,85,80,65,85,85,55,85,70,95,75,85,85,65
1,80,0,85,50,70,5,50,50,50,50,50,95,0,50,50,90
0,15,100,40,40,40,50,50,50,100,85,85,70,85,40,70,85
1,70,10,85,100,50,50,90,100,90,100,75,100,20,65,35,100
1,100,0,50,50,50,50,50,40,0,100,100,100,0,50,50,50
1,70,0,70,60,85,40,50,50,100,100,30,70,15,20,50,50
0,30,60,50,30,15,50,50,50,70,50,85,50,50,40,70,50
0,15,90,25,75,80,85,90,80,90,100,100,80,95,85,95,65
0,50,40,50,50,30,30,85,70,70,85,85,70,60,30,85,50
1,70,0,85,60,70,15,85,50,60,85,70,100,0,85,50,85
0,0,90,70,80,50,60,90,70,70,70,70,90,80,80,80,80
1,85,0,90,60,75,50,50,50,60,50,85,85,30,60,60,90
1,85,0,100,100,85,15,100,100,100,100,60,100,15,60,100,85
0,0,100,60,60,60,40,60,40,85,85,100,70,85,60,85,85
1,100,0,100,85,100,0,100,60,0,100,60,100,60,40,85,100
1,100,0,100,50,50,60,50,50,70,50,85,85,0,85,50,85
0,0,100,40,0,30,50,0,0,50,50,100,50,100,85,100,60
0,40,85,40,40,30,60,60,50,70,60,85,70,70,40,85,40
1,70,0,100,50,40,50,50,50,30,100,40,100,0,50,50,100
0,0,100,30,30,30,60,30,40,85,70,85,85,85,15,100,60
1,100,0,100,75,85,60,85,50,40,60,70,100,0,95,60,85
0,0,60,60,30,50,60,30,40,60,50,70,70,50,50,85,50
1,85,0,100,50,85,40,50,50,50,50,85,85,15,60,40,85
1,70,0,100,95,75,5,100,70,40,90,49,100,10,50,65,70
1,70,15,85,40,40,70,50,50,50,50,100,100,40,85,40,70
1,100,15,100,100,85,75,100,90,100,100,90,100,65,90,85,100
0,15,85,60,60,50,70,70,70,100,85,100,85,70,60,85,70
1,70,0,70,100,100,50,100,100,100,100,70,100,40,50,50,85
0,0,85,70,30,40,60,100,100,100,100,100,70,85,40,70,85
1,100,15,70,70,50,30,70,70,70,70,50,60,50,50,60,85
