"region","population","sex","age","education","income","statusquo","vote"
"N",175000,"M",65,"P",35000,1.0082,"Y"
"N",175000,"M",29,"PS",7500,-1.29617,"N"
"N",175000,"F",38,"P",15000,1.23072,"Y"
"N",175000,"F",49,"P",35000,-1.03163,"N"
"N",175000,"F",23,"S",35000,-1.10496,"N"
"N",175000,"F",28,"P",7500,-1.04685,"N"
"N",175000,"M",26,"PS",35000,-0.78626,"N"
"N",175000,"F",24,"S",15000,-1.11348,"N"
"N",175000,"F",41,"P",15000,-1.01292,"U"
"N",175000,"M",41,"P",15000,-1.29617,"N"
"N",175000,"M",64,"P",15000,1.36566,"Y"
"N",175000,"M",19,"S",35000,1.02791,"U"
"N",175000,"F",27,"PS",NA,1.43448,"Y"
"N",175000,"F",46,"S",75000,1.50684,"Y"
"N",175000,"M",36,"PS",35000,1.49026,NA
"N",175000,"M",22,"S",15000,-1.14189,"A"
"N",175000,"F",20,"PS",15000,-0.85579,"N"
"N",175000,"M",30,"S",35000,-0.90689,"U"
"N",175000,"M",67,"P",75000,1.32279,"Y"
"N",175000,"F",50,"S",2500,-1.05805,"U"
"N",175000,"F",38,"S",35000,1.38534,"Y"
"N",175000,"F",55,"PS",35000,1.45602,"Y"
"N",175000,"M",18,"S",75000,1.54808,"Y"
"N",175000,"F",24,"PS",35000,1.61471,"Y"
"N",175000,"M",58,"P",35000,1.52601,"Y"
"N",175000,"F",28,"S",35000,0.55328,"U"
"N",175000,"F",34,"P",7500,1.33619,"A"
"N",175000,"F",43,"P",NA,0.15489,"A"
"N",175000,"M",20,"PS",35000,-0.89281,"N"
"N",175000,"M",53,"PS",35000,-1.29617,"A"
"N",175000,"F",32,"PS",35000,1.50986,"Y"
"N",175000,"F",37,"PS",200000,0.96525,"Y"
"N",175000,"M",36,"PS",7500,0.15489,"U"
"N",175000,"M",44,"PS",35000,1.16851,"N"
"N",175000,"M",20,"PS",15000,-1.29617,"N"
"N",175000,"F",36,"P",35000,-0.35147,"Y"
"N",175000,"M",37,"P",7500,1.43203,"Y"
"N",175000,"M",30,"S",35000,0.2636,"A"
"N",175000,"M",30,"P",15000,0.11067,"Y"
"N",175000,"F",19,"P",15000,0.72102,"A"
"N",125000,"F",33,"S",35000,1.00232,"A"
"N",125000,"M",30,"S",15000,-1.1517,"N"
"N",125000,"F",37,"PS",35000,1.40361,"Y"
"N",125000,"M",51,"P",15000,0.52166,"Y"
"N",125000,"F",61,"P",35000,0.79952,"Y"
"N",125000,"F",21,"S",7500,0.53177,"U"
"N",125000,"F",70,"P",15000,1.48894,"Y"
"N",125000,"M",35,"S",35000,0.49674,"Y"
"N",125000,"M",68,"P",35000,1.32695,"Y"
"N",125000,"F",25,"P",35000,1.54808,"Y"
"N",125000,"F",50,"P",7500,1.33168,"Y"
"N",125000,"F",24,"S",35000,1.03408,"Y"
"N",125000,"M",66,"P",35000,0.87984,"U"
"N",125000,"M",25,"S",75000,-0.42448,"A"
"N",125000,"M",40,"S",15000,-1.04016,"N"
"N",125000,"M",34,"PS",125000,-1.10088,"N"
"N",125000,"M",18,"S",35000,-0.37211,"U"
"N",125000,"F",52,"S",35000,1.24649,"Y"
"N",125000,"F",35,"S",35000,1.59577,"Y"
"N",125000,"M",51,"S",75000,1.34999,"Y"
"N",125000,"M",33,"PS",75000,1.33168,"Y"
"N",125000,"F",36,"S",15000,0.80845,"Y"
"N",125000,"F",24,"S",35000,-0.48981,"U"
"N",125000,"F",43,"P",15000,1.04409,"Y"
"N",125000,"M",50,"P",15000,-0.83203,"U"
"N",125000,"F",28,"P",35000,1.5877,"Y"
"N",125000,"F",54,"P",15000,0.90506,"U"
"N",125000,"M",19,"S",7500,0.52845,"N"
"N",125000,"F",26,"S",35000,1.45329,"Y"
"N",125000,"M",67,"PS",75000,0.23095,"A"
"N",125000,"M",40,"PS",35000,-0.52639,"N"
"N",125000,"M",19,"PS",35000,-1.10706,"N"
"N",125000,"F",38,"S",75000,1.06142,"Y"
"N",125000,"F",22,"PS",35000,-1.30351,"N"
"N",125000,"M",38,"PS",75000,0.27293,"U"
"N",125000,"F",32,"S",NA,-0.85035,"N"
"N",125000,"F",36,"S",75000,0.18447,"A"
"N",125000,"M",38,"PS",35000,-1.29617,"N"
"N",125000,"M",19,"S",35000,-0.02965,"N"
"N",125000,"M",32,"PS",75000,1.48284,"Y"
"N",125000,"M",38,"S",15000,-0.59145,"U"
"N",125000,"M",54,"P",35000,-1.1921,"N"
"N",125000,"M",48,"P",35000,1.02326,"Y"
"N",125000,"F",30,"S",75000,-0.99223,"N"
"N",125000,"M",23,"PS",35000,-1.10784,"Y"
"N",125000,"F",46,"S",125000,1.5877,"Y"
"N",125000,"F",19,"S",7500,-0.14772,"U"
"N",125000,"F",54,"P",7500,0.22433,"U"
"N",125000,"M",23,"S",15000,-1.12468,"N"
"N",125000,"M",68,"P",7500,0.11359,"U"
"N",125000,"F",44,"S",35000,-1.14579,"N"
"N",125000,"M",65,"P",35000,1.02326,"Y"
"N",125000,"F",24,"P",7500,-1.18567,"N"
"N",125000,"F",19,"S",35000,1.05618,"Y"
"N",125000,"M",21,"PS",15000,-0.7115,"A"
"N",125000,"F",53,"P",75000,1.59943,"Y"
"N",125000,"F",38,"P",15000,0.28099,"U"
"N",125000,"F",34,"P",2500,0.10807,NA
"N",125000,"M",28,"S",35000,-0.52335,"A"
"N",125000,"M",57,"S",35000,-0.66752,"N"
"N",250000,"F",50,"P",15000,-0.97742,"Y"
"N",250000,"M",45,"P",2500,0.71898,"N"
"N",250000,"M",19,"PS",15000,0.67533,"U"
"N",250000,"M",58,"P",15000,1.27496,"U"
"N",250000,"F",18,"S",125000,0.15214,"N"
"N",250000,"F",67,"S",7500,-1.29617,"N"
"N",250000,"M",30,"S",7500,-0.71641,"N"
"N",250000,"F",23,"P",7500,-1.30366,"N"
"N",250000,"F",34,"P",7500,-0.122,"Y"
"N",250000,"M",46,"P",75000,-1.17441,"N"
"N",250000,"M",66,"P",15000,-0.70463,"U"
"N",250000,"F",31,"S",7500,0.00744,"U"
"N",250000,"F",46,"S",NA,0.15489,NA
"N",250000,"M",18,"S",15000,-0.71653,"N"
"N",250000,"M",69,"P",7500,1.54808,"Y"
"N",250000,"M",21,"S",35000,-0.78334,"N"
"N",250000,"M",41,"PS",35000,0.25602,"U"
"N",250000,"M",49,"S",35000,-0.30605,NA
"N",250000,"F",28,"PS",75000,1.23773,"A"
"N",250000,"F",34,"P",35000,1.43203,"Y"
"N",250000,"F",35,"S",35000,-1.29617,"N"
"N",250000,"F",50,"S",125000,1.5877,"Y"
"N",250000,"M",66,"S",75000,1.25462,"Y"
"N",250000,"M",22,"PS",125000,-0.42219,"N"
"N",250000,"F",54,"S",75000,-0.12077,"N"
"N",250000,"F",22,"PS",35000,-0.27527,"N"
"N",250000,"F",70,"P",75000,1.39831,"Y"
"N",250000,"M",29,"S",75000,0.09897,"U"
"N",250000,"F",50,"P",35000,-1.29617,"N"
"N",250000,"M",42,"PS",75000,1.45861,"Y"
"N",250000,"M",33,"S",7500,-1.29617,"N"
"N",250000,"M",52,"P",35000,-1.03168,"N"
"N",250000,"F",55,"S",15000,-1.29617,"N"
"N",250000,"F",50,"P",35000,0.6853,"Y"
"N",250000,"F",24,"P",7500,-1.2202,"N"
"N",250000,"F",26,"PS",35000,-1.29617,"N"
"N",250000,"M",23,"PS",35000,-1.01268,"N"
"N",250000,"F",55,"S",35000,-0.38049,"N"
"N",250000,"F",37,"S",35000,-0.46709,"U"
"N",250000,"M",38,"PS",15000,-0.88584,"N"
"N",250000,"M",18,"PS",75000,-1.21974,"N"
"N",250000,"M",36,"S",35000,-0.40254,"N"
"N",250000,"F",18,"S",NA,-1.22081,"N"
"N",250000,"F",36,"S",7500,1.40604,"Y"
"N",250000,"F",65,"PS",125000,-0.9981,"N"
"N",250000,"F",26,"PS",75000,1.48284,"Y"
"N",250000,"F",55,"S",75000,1.44104,"Y"
"N",250000,"F",59,"S",35000,1.5877,"Y"
"N",250000,"M",18,"S",15000,-0.70887,"A"
"N",250000,"M",70,"P",7500,-0.36585,"N"
"N",250000,"F",24,"PS",35000,1.27926,"Y"
"N",250000,"F",26,"PS",75000,-1.10017,"N"
"N",250000,"F",44,"PS",75000,1.44183,"Y"
"N",250000,"M",53,"S",15000,-1.29617,"N"
"N",250000,"M",35,"PS",125000,-0.72892,"N"
"N",250000,"F",26,"PS",125000,1.4162,"Y"
"N",250000,"M",37,"P",15000,0.41711,"N"
"N",250000,"F",70,"PS",125000,1.44896,"Y"
"N",250000,"M",23,"PS",35000,-1.25795,"N"
"N",250000,"F",18,"S",35000,1.50986,"Y"
"N",87500,"M",41,"PS",35000,-0.47135,"A"
"N",87500,"F",30,"P",15000,1.60783,"Y"
"N",87500,"F",46,"P",7500,1.51786,"Y"
"N",87500,"M",22,"P",15000,-0.51949,"N"
"N",87500,"F",26,"S",15000,-0.34236,"A"
"N",87500,"F",42,"P",15000,1.54808,"Y"
"N",87500,"F",25,"S",15000,1.37129,"Y"
"N",87500,"M",42,"P",15000,1.5877,"Y"
"N",87500,"M",32,"PS",75000,1.36312,"Y"
"N",87500,"F",51,"P",2500,1.59607,"Y"
"N",87500,"M",18,"S",15000,-1.10367,"N"
