,Year,warstds,eu_nama_aux_pem_POP,gle_rgdpc,ross_oil_netexpc,p_polity,al_ethnic,al_religion,imf_gdpgr,une_gerst
1,2004,0,1242.6801,1283.9399,211.8773836,4,0.85046,0.7421445,10.585,34.75172
2,2009,0,2166.1101,1977.66,247.3986729,4,0.85046,0.7421445,6.96,38.90099
3,2011,0,2011,2246.8201,1982.04,-2.342190585,4,0.85046,0.7421445,7.356
4,2012,0,2012,9136.124071,1260.315436,-2.409769631,4,0.85046,0.7421445,6.584
5,2013,1,2013,1384.176765,214.3690596,-28.48541765,-4.434046756,0.474050077,4.359321334,23.97204506
6,2014,0,2014,9289.527225,1291.310843,-2.284410441,-0.16680592,0.418206483,4.822775537,58.06292031
7,2001,1,1070.34,1179.74,0,-1,0.738942,0.2648523,3.769,17.87825
8,2001,0,828.45001,913.12,0,-4,0.930175,0.6332101,8.765,16.47655
9,2002,1,863.12,936.17999,0,-4,0.930175,0.6332101,7.057,19.16474
10,2003,0,903.71997,960.03003,0,-4,0.930175,0.6332101,6.159,19.25922
11,2004,1,952.79999,984.44,0,-4,0.930175,0.6332101,5.803,18.96524
12,2005,0,1043.84,1043.84,0,-1,0.930175,0.6332101,10.007,19.10842
13,2006,0,1089.6899,1055.58,0,-1,0.930175,0.6332101,7.049,20.61571
14,2007,0,1139.39,1072.6,0,-1,0.930175,0.6332101,8.064,23.91928
15,2008,0,1190.36,1096.27,0,-1,0.930175,0.6332101,10.428,26.31311
16,2009,0,1291.87,1179.48,0,-1,0.930175,0.6332101,4.134,27.61282
17,2010,0,1325.62,1194.33,0,-1,0.930175,0.6332101,6.196,57.73349391
18,2011,0,1343.45,1185.13,1257.724564,-1,0.930175,0.6332101,6.181,57.62789261
19,2013,0,9584.669408,9362.55354,1297.387973,-1,0.930175,0.6332101,2.776,58.20779594
20,2014,0,9677.917553,9455.276542,1314.165928,-2.336256912,-0.176618846,0.418226382,6.025,58.5203665
21,2003,0,9650.913238,9426.508032,1308.219848,-2.301852275,-0.168218939,0.417300233,4.826937335,58.5513005
22,2001,1,1811.84,1997.02,424.5400229,-3,0.78672,0.6276435,3.142,16.78454
23,2004,0,2522.8501,2606.6299,818.0863301,-2,0.78672,0.6276435,11.183,58.16792698
24,2007,0,4136.3301,3893.8601,2117.554588,-2,0.78672,0.6276435,22.593,58.12087697
25,2009,0,4742.9702,4330.3301,1858.753718,-2,0.78672,0.6276435,2.413,27.12847
26,2002,0,2219.53,2407.3999,505.3979937,-2,0.78672,0.6276435,14.532,18.11489
27,2001,0,2001,1048.37,1155.52,0,-77,0.8117,0.0027548,57.66473544
28,2002,0,2002,1081.9301,1173.51,0,-77,0.8117,0.0027548,57.48222669
29,2006,0,2006,1311.42,1270.38,-8.952062971,-77,0.8117,0.0027548,57.3981474
30,2007,1,2007,1396.52,1314.66,-2.834014682,-77,0.8117,0.0027548,32.25562433
31,2008,0,2008,1469.5601,1353.41,-2.97026314,-77,0.8117,0.0027548,57.71198649
32,2009,0,2009,1450.29,1324.12,0,-77,0.8117,0.0027548,57.72047448
33,2010,0,2010,1437.87,1295.46,0,-77,0.8117,0.0027548,57.76264901
34,2011,0,2011,1436.74,1267.4301,-2.30263054,-66,0.8117,0.0027548,57.8424343
35,2012,0,2012,9270.811939,1286.473004,-2.296781881,5,0.8117,0.0027548,58.03956551
36,2013,0,2013,9377.822065,1303.772483,-2.266546026,-0.16067581,0.418053267,4.824401138,58.17570245
37,2014,1,2014,1347.861239,200.68421,-28.60444113,-3.893644102,0.472282917,3.918079772,23.90383541
38,2001,0,475.39999,523.98999,0,0,0.908388,0.4883031,2.933,57.43397741
39,2002,0,501.92001,544.40002,0,0,0.908388,0.4883031,4.48,57.13904368
40,2003,1,346.26999,367.85001,0,-25.76012018,0.908388,0.4883031,-28.356,27.50914491
41,2007,0,887.64001,835.59998,0,7,0.6906,0.1819978,4.298,32.57026
42,2008,0,924.45001,851.38,0,7,0.6906,0.1819978,4.979,36.36809
43,2009,0,976.53003,891.57001,0,7,0.6906,0.1819978,4.457,39.60735
44,2012,0,9637.47941,9414.131283,1315.877806,-2.288856781,-0.160442702,0.416725751,4.824226441,58.40489525
