"feel_biden","feel_trump","feel_fauci","feel_feminists","feel_unions","feel_bigbusiness","feel_gay","feel_muslim","feel_christian","feel_jewish","feel_police","feel_scientists","feel_nra","feel_fbi","feel_rural","feel_cdc"
0,100,50,65,30,70,85,85,85,100,85,100,50,50,100,15
85,0,85,70,60,0,50,50,50,50,0,70,0,0,45,50
85,0,100,70,60,40,85,85,85,85,85,85,0,85,85,85
0,95,10,20,30,85,85,50,100,50,100,80,100,60,100,0
0,0,0,50,40,40,50,50,50,50,15,50,50,0,50,50
100,0,85,30,60,0,0,85,85,50,15,70,50,15,0,70
75,35,50,50,50,35,50,50,50,50,50,75,50,50,50,50
100,0,100,85,100,70,70,70,100,85,100,100,70,100,100,100
100,0,85,50,70,60,50,50,60,50,60,85,0,60,40,50
90,10,50,80,60,40,90,60,80,80,65,80,50,70,80,60
50,60,100,0,0,100,100,100,100,100,70,100,70,70,85,85
0,100,30,40,85,70,85,70,85,85,85,50,100,60,100,60
0,100,30,60,40,60,60,85,85,100,100,85,70,60,85,70
86,16,70,50,60,50,50,50,50,50,40,50,40,50,50,50
30,60,60,50,40,50,50,40,50,50,70,60,60,50,50,60
65,0,85,50,50,65,60,50,40,60,50,85,40,65,50,65
15,100,50,70,50,70,85,70,85,85,85,85,70,85,70,85
90,0,70,85,85,15,85,50,50,85,85,100,15,70,40,80
100,0,100,70,70,30,100,40,40,100,70,100,15,100,50,85
85,0,100,100,100,30,100,100,100,100,70,100,0,50,50,85
30,0,80,80,90,0,90,90,30,90,20,100,0,30,70,60
0,80,40,0,50,85,50,50,100,85,100,50,85,50,100,15
85,0,80,65,60,51,70,60,65,60,70,85,15,60,40,55
50,85,60,60,60,60,50,50,75,80,70,70,60,50,75,60
85,30,100,50,70,40,85,85,100,100,85,85,15,85,70,85
80,0,50,100,80,70,100,50,100,50,90,100,100,100,80,100
90,30,70,15,60,60,50,0,80,80,75,80,0,60,50,70
60,10,60,85,75,30,65,50,50,50,50,50,25,50,75,85
50,100,50,70,70,70,70,85,85,85,85,100,100,60,70,100
100,0,100,100,85,50,50,50,70,60,50,100,40,60,50,60
0,100,0,50,50,0,85,100,100,100,100,70,100,40,100,0
50,50,70,60,100,60,70,100,100,100,100,100,70,100,100,100
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
15,0,85,70,85,0,85,70,0,70,30,85,0,50,70,100
0,70,50,50,50,100,50,50,100,100,100,100,100,100,100,100
0,70,15,0,50,70,0,15,100,50,85,50,100,70,50,60
0,0,90,30,50,50,50,50,12,50,10,100,50,15,100,50
70,0,70,50,40,50,100,100,100,100,85,85,0,50,100,50
0,90,15,50,50,50,50,50,70,50,70,75,60,40,85,70
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
40,40,70,50,70,50,50,50,85,50,100,100,50,60,50,40
50,50,50,0,50,40,50,50,0,40,100,100,100,100,50,100
0,70,0,40,50,50,50,50,50,50,100,70,100,40,85,60
60,0,100,50,50,30,50,50,50,50,50,70,0,60,20,60
85,0,100,90,95,40,95,85,60,85,70,100,15,50,85,60
60,0,70,50,60,30,50,50,60,50,40,70,15,50,50,70
100,0,100,85,30,40,85,80,85,85,60,85,15,100,70,100
60,60,80,50,30,15,100,50,85,85,85,85,85,100,100,70
100,60,60,60,60,100,60,50,85,60,60,85,85,70,85,85
0,60,0,40,50,0,50,50,50,50,50,50,50,50,50,50
0,100,0,15,0,85,70,60,85,60,100,50,100,50,100,0
0,85,50,50,40,60,50,50,100,85,100,50,60,40,85,85
0,0,0,50,50,0,50,50,0,85,50,0,100,50,50,0
60,0,85,35,40,0,70,70,20,70,60,80,40,60,60,80
40,85,85,30,85,50,50,50,85,70,85,85,70,70,60,40
0,100,15,30,0,60,40,0,60,100,100,85,100,40,100,50
60,100,60,85,80,85,85,60,70,85,90,95,80,90,85,85
0,100,50,50,70,50,0,0,100,50,100,100,100,100,100,100
60,15,85,100,100,60,50,50,100,50,30,100,50,40,50,85
15,100,0,60,50,70,85,50,70,60,40,60,70,50,80,30
60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
40,60,70,50,50,60,70,50,85,85,60,70,85,70,95,75
85,50,70,60,50,60,50,60,100,70,100,85,60,85,85,85
60,15,85,70,85,70,85,85,85,85,100,85,30,70,60,70
